code,level,title,parent_code
15-2021,detailed,Mathematicians,15-2020
15-2030,broad,Operations Research Analysts,15-2000
15-2031,detailed,Operations Research Analysts,15-2030
15-2040,broad,Statisticians,15-2000
15-2041,detailed,Statisticians,15-2040
15-2050,broad,Data Scientists,15-2000
15-2051,detailed,Data Scientists,15-2050
15-2090,broad,Miscellaneous Mathematical Science Occupations,15-2000
15-2099,detailed,"Mathematical Science Occupations, All Other",15-2090
17-0000,major,Architecture and Engineering Occupations,
17-1000,minor,"Architects, Surveyors, and Cartographers",17-0000
17-1010,broad,"Architects, Except Naval",17-1000
17-1011,detailed,"Architects, Except Landscape and Naval",17-1010
17-1012,detailed,Landscape Architects,17-1010
17-1020,broad,"Surveyors, Cartographers, and Photogrammetrists",17-1000
17-1021,detailed,Cartographers and Photogrammetrists,17-1020
17-1022,detailed,Surveyors,17-1020
17-2000,minor,Engineers,17-0000
17-2010,broad,Aerospace Engineers,17-2000
17-2011,detailed,Aerospace Engineers,17-2010
17-2020,broad,Agricultural Engineers,17-2000
17-2021,detailed,Agricultural Engineers,17-2020
17-2030,broad,Bioengineers and Biomedical Engineers,17-2000
17-2031,detailed,Bioengineers and Biomedical Engineers,17-2030
17-2040,broad,Chemical Engineers,17-2000
17-2041,detailed,Chemical Engineers,17-2040
17-2050,broad,Civil Engineers,17-2000
17-2051,detailed,Civil Engineers,17-2050
17-2060,broad,Computer Hardware Engineers,17-2000
17-2061,detailed,Computer Hardware Engineers,17-2060
17-2070,broad,Electrical and Electronics Engineers,17-2000
17-2071,detailed,Electrical Engineers,17-2070
17-2072,detailed,"Electronics Engineers, Except Computer",17-2070
17-2080,broad,Environmental Engineers,17-2000
17-2081,detailed,Environmental Engineers,17-2080
17-2110,broad,"Industrial Engineers, Including Health and Safety",17-2000
17-2111,detailed,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2110
17-2112,detailed,Industrial Engineers,17-2110
17-2120,broad,Marine Engineers and Naval Architects,17-2000
17-2121,detailed,Marine Engineers and Naval Architects,17-2120
17-2130,broad,Materials Engineers,17-2000
17-2131,detailed,Materials Engineers,17-2130
17-2140,broad,Mechanical Engineers,17-2000
17-2141,detailed,Mechanical Engineers,17-2140
17-2150,broad,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2000
17-2151,detailed,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2150
17-2160,broad,Nuclear Engineers,17-2000
17-2161,detailed,Nuclear Engineers,17-2160
17-2170,broad,Petroleum Engineers,17-2000
17-2171,detailed,Petroleum Engineers,17-2170
17-2190,broad,Miscellaneous Engineers,17-2000
17-2199,detailed,"Engineers, All Other",17-2190
17-3000,minor,"Drafters, Engineering Technicians, and Mapping Technicians",17-0000
17-3010,broad,Drafters,17-3000
17-3011,detailed,Architectural and Civil Drafters,17-3010
17-3012,detailed,Electrical and Electronics Drafters,17-3010
17-3013,detailed,Mechanical Drafters,17-3010
